店舗名,郵便番号,住所,電話番号,FAX番号,ホームページURL,メールアドレス,座席数,個室情報
"熟成豚しゃぶしゃぶ 美の邸（Vino－tei） 梅田大阪駅前店","530-0001","大阪府大阪市北区梅田2-1-21 レイズウメダビル9F-A","050-5788-0600","","","","100席 座敷席あり 掘りごたつ席あり","テーブル個室あり（2名～30名様用） 掘りごたつ個室あり（2名～30名様用） テーブル個室あり（20名～30名様用） 掘りごたつ個室あり（20名～30名様用） ※個室の詳細はお店にお問い合わせください"
"タッカンマリ鍋 北新地 丸鶏屋","530-0004","大阪府大阪市北区堂島浜1-1-18 堂浜ビル1F奥","050-5786-2244","","","","40席 カウンター席あり ソファー席あり","テーブル個室あり（8名～12名様用） ※個室の詳細はお店にお問い合わせください"
"時の居酒屋 刻 梅田店","530-0018","大阪府大阪市北区小松原町1-7 ミスターりんビル4F","050-5798-9252","","","","124席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（6室/2名～44名様用/カーテン仕切り） 座敷個室あり（1室/2名～44名様用/カーテン仕切り） テーブル個室あり（7室/2名～44名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"梅田 燈花","530-0002","大阪府大阪市北区曽根崎新地2-5-28","050-5788-7161","","","","125席 座敷席あり 掘りごたつ席あり 座椅子あり ソファー席あり","テーブル個室あり（2名～40名様用） 掘りごたつ個室あり（2名～8名様用） 掘りごたつ個室あり（2名～10名様用） 掘りごたつ個室あり（2名～8名様用） テーブル個室あり（2名～22名様用） ※個室の詳細はお店にお問い合わせください"
"しゃぶしゃぶ食べ放題 しゃぶ茶屋 茶屋町店","530-0013","大阪府大阪市北区茶屋町2-16 イースクエア5F","050-5786-4419","","","","32席",""
"特選黒毛和牛 北新地 しゃぶ壱","530-0002","大阪府大阪市北区曽根崎新地1-1-16 クリスタルコートビル1F","050-5796-8241","","","","19席",""
"八女炭蘇鶏とイベリコ豚 ともじろう","553-0003","大阪府大阪市福島区福島6-3-8","050-5789-1747","","","","66席 座敷席あり","掘りごたつ個室あり（～4名様用） 掘りごたつ個室あり（～20名様用） 掘りごたつ個室あり（～15名様用） ※個室の詳細はお店にお問い合わせください"
"豚しゃぶ 佐くら ～ブリーゼブリーゼ～","530-0001","大阪府大阪市北区梅田2-4-9 ブリーゼブリーゼ5F","050-5789-8459","","http://www.breeze-breeze.jp/","","62席 掘りごたつ席あり","テーブル個室あり（6名～8名様用/扉・壁あり） テーブル個室あり（12名～14名様用/扉・壁あり） 掘りごたつ個室あり（16名～25名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"『讃』","531-0075","大阪府大阪市北区大淀南2-1-14","050-5789-2946","","","","48席 掘りごたつ席あり","掘りごたつ半個室あり（4名～50名様用） ※個室の詳細はお店にお問い合わせください"
"韓国焼鳥バル TORIKUI 梅田東通り店","530-0027","大阪府大阪市北区堂山町4-12 白馬車ビル2F","050-5796-7689","","","","101席 座敷席あり 掘りごたつ席あり カウンター席あり カップルシートあり","テーブル個室あり（2名様用） テーブル個室あり（3名～4名様用/カーテン仕切り） 掘りごたつ個室あり（7名～16名様用/扉・壁あり） 掘りごたつ個室あり（40名～60名様用） ※個室の詳細はお店にお問い合わせください"
"黒毛和牛のもつ鍋 いちえ 北新地 本店","530-0002","大阪府大阪市北区曽根崎新地1-3-33","050-5798-3938","","","","30席 座敷席あり カウンター席あり カップルシートあり","座敷個室あり（2名～6名様用/扉・壁あり） 座敷個室あり（6名～12名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"和食居酒屋 なかの家 ルクア大阪店","530-0001","大阪府大阪市北区梅田3-1-3 ルクア大阪10F","050-5797-0672","","http://nakanoya-lucua.com/index.html","","78席 夜景が見える",""
"柚庵 ～yuan～ 梅田店","530-0027","大阪府大阪市北区堂山町16-12 堂山東ビル1F","050-5785-9847","","","","150席 掘りごたつ席あり","掘りごたつ個室あり（10室/2名～4名様用/扉・壁あり） 掘りごたつ個室あり（10室/4名～6名様用/扉・壁あり） 掘りごたつ個室あり（10室/6名～10名様用/扉・壁あり） 掘りごたつ個室あり（10室/12名～30名様用/扉・壁あり） 掘りごたつ個室あり（10室/30名～100名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"個室ダイニング まごころ 梅田本店","530-0027","大阪府大阪市北区堂山町4-12 白馬車ビル10F","06-6362-0550","","","","160席 座敷席あり 掘りごたつ席あり カップルシートあり","座敷個室あり（30名～80名様用/扉・壁あり） 掘りごたつ個室あり（10名～30名様用/扉・壁あり） 掘りごたつ個室あり（4名～10名様用/扉・壁あり） テーブル個室あり（2名～4名様用/扉・壁あり） テーブル個室あり（2名～20名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"日本料理 大坂ばさら","530-0011","大阪府大阪市北区大深町4-20 グランフロント大阪 南館8F","050-5788-7136","","","","47席 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（1室/2名～8名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"個室ダイニング 和ごころ 梅田店","530-0027","大阪府大阪市北区堂山町7-7 角庄ビル8F","06-6311-0111","","","","120席 座敷席あり 掘りごたつ席あり カップルシートあり 夜景が見える","掘りごたつ個室あり（50名～100名様用/扉・壁あり） 掘りごたつ個室あり（30名～50名様用/扉・壁あり） 掘りごたつ個室あり（10名～30名様用/扉・壁あり） 掘りごたつ個室あり（4名～10名様用/扉・壁あり） 掘りごたつ個室あり（2名～4名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"チャイナダイニング レンゲ","530-0003","大阪府大阪市北区堂島1-5-40 森田ビル2F","050-5789-4904","","","","47席 カウンター席あり ソファー席あり","テーブル個室あり（12名様用） テーブル個室あり（6名様用） テーブル個室あり（6名様用/扉・壁あり） テーブル個室あり（14名様用/パーティション仕切り） ※個室の詳細はお店にお問い合わせください"
"旬彩dining 源家","530-0057","大阪府大阪市北区曽根崎2-14-21 1～3F","050-5522-5238","","","","78席 カウンター席あり ソファー席あり","テーブル半個室あり（4名～6名様用） テーブル半個室あり（4名～6名様用） テーブル半個室あり（4名～6名様用） テーブル個室あり（20名～50名様用） テーブル半個室あり（2名～4名様用） ※個室の詳細はお店にお問い合わせください"
"しゃぶしゃぶ 日本料理 木曽路 北新地店","530-0002","大阪府大阪市北区曽根崎新地1-3-26 ぐらん･ぱれ 2～3F","050-5798-6175","","http://www.kisoji.co.jp/","","154席 座敷席あり 掘りごたつ席あり 座椅子あり","掘りごたつ個室あり（2名～20名様用） 座敷個室あり（2名～60名様用） テーブル個室あり（2名～10名様用） ※個室の詳細はお店にお問い合わせください"
"個室和食居酒屋 なかの家 北新地店","530-0002","大阪府大阪市北区曽根崎新地1-4-10 銀泉桜橋ビルB1","050-5797-6866","","http://www.nakano-ya.net/","","100席 座敷席あり 掘りごたつ席あり","テーブル個室あり（6名～20名様用） 掘りごたつ個室あり（2名～15名様用） ※個室の詳細はお店にお問い合わせください"
"割烹そば 神田 茶屋町本店","530-0013","大阪府大阪市北区茶屋町8-26 NU茶屋町プラス3F","050-5798-0922","","http://www.soba-kanda.jp/","","86席 掘りごたつ席あり ソファー席あり テラス・屋外席あり 円卓あり 夜景が見える","掘りごたつ個室あり（2名～6名様用） 掘りごたつ個室あり（2名～4名様用） テーブル個室あり（2名～5名様用） テーブル個室あり（2名～8名様用） ※個室の詳細はお店にお問い合わせください"
"ソウルトゥソウル","530-0027","大阪府大阪市北区堂山町4-15 弁天ビル2F","050-5785-1258","","","","80席 座敷席あり 掘りごたつ席あり 座椅子あり カウンター席あり カップルシートあり","掘りごたつ個室あり（2名～4名様用） 掘りごたつ個室あり（4名～8名様用） 掘りごたつ個室あり（8名～20名様用） テーブル個室あり（6名～12名様用） テーブル個室あり（12名～28名様用） ※個室の詳細はお店にお問い合わせください"
"和食としゃぶしゃぶ わだ家 大阪お初天神店","530-0057","大阪府大阪市北区曽根崎2-8-9 八幸ビル1F","050-5797-2825","","http://www.wada-ya.com/","","66席 座敷席あり 掘りごたつ席あり カウンター席あり カップルシートあり","掘りごたつ個室あり（2室/2名～14名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"豚しゃぶ 英","530-0002","大阪府大阪市北区曽根崎新地1-6-1 ENISHI北新地ビル5F","050-5798-2026","","","","28席","テーブル半個室あり（2名～12名様用） テーブル半個室あり（2名～8名様用） テーブル半個室あり（2名～6名様用） テーブル半個室あり（2名～4名様用） テーブル半個室あり（1名～2名様用） ※個室の詳細はお店にお問い合わせください"
"とりひめ オリエンタルリミックス茶屋町店","530-0013","大阪府大阪市北区茶屋町2-25","050-5522-3957","","","","240席 座敷席あり 掘りごたつ席あり カウンター席あり カップルシートあり ソファー席あり テラス・屋外席あり 夜景が見える","テーブル個室あり（1室/2名～6名様用） 掘りごたつ個室あり（12名～20名様用） 掘りごたつ個室あり（35名～60名様用） テーブル個室あり（4名～20名様用） 掘りごたつ個室あり（8名～10名様用） ※個室の詳細はお店にお問い合わせください"
"わいわい酒家 楽 ヨドバシ梅田店","530-0011","大阪府大阪市北区大深町1-1 ヨドバシ梅田ビル8F","050-5789-8454","06-6100-2721","http://www.d-diner.net/","info@d-diner.net","66席 掘りごたつ席あり 夜景が見える",""
"Restaurant KANSHA 梅田","530-0002","大阪府大阪市北区曽根崎新地1-6-12 碇ビル6F","06-6346-3923","","http://washoku-kansha.com","","40席","テーブル個室あり（1室/6名～14名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"どん亭 北新地店","530-0004","大阪府大阪市北区堂島浜1-1-8","050-5787-7567","","","","115席 掘りごたつ席あり","掘りごたつ個室あり（4室/48名様用） ※個室の詳細はお店にお問い合わせください"
"まだん 阪急東通り店","530-0027","大阪府大阪市北区堂山町5-3 堂山タウンビル1～3F","050-5799-4410","","http://www.landmarkco.jp/","","120席 座敷席あり 掘りごたつ席あり カウンター席あり ソファー席あり","掘りごたつ個室あり（2名～55名様用） 座敷個室あり（20名～22名様用） ※個室の詳細はお店にお問い合わせください"
"鶏匠 IPPO イーマ梅田店","530-0001","大阪府大阪市北区梅田1-12-6 E-MA6F","050-5789-7010","","","","110席 カウンター席あり ソファー席あり","テーブル個室あり（1室/5名～12名様用/扉・壁あり） テーブル個室あり（1室/2名様用/扉・壁あり） テーブル個室あり（1室/5名～10名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"花様 ka－you 北新地 近江自家栽培ファーム直営店","530-0002","大阪府大阪市北区曽根崎新地1-5-23 吉紹ビル1F","06-6344-2998","050-3666-7075 06-6445-8787","http://shigaichiba.com/","info@shigaichiba.com","70席 カウンター席あり ソファー席あり","テーブル個室あり（2名～4名様用） テーブル個室あり（4名～8名様用） テーブル個室あり（8名～14名様用） テーブル個室あり（14名～20名様用） テーブル個室あり（20名～70名様用） ※個室の詳細はお店にお問い合わせください"
"博多もつ鍋 おおやま 梅田・茶屋町店","530-0012","大阪府大阪市北区芝田1-8-1 D．D．HOUSE B1","050-5798-0202","","","","70席 掘りごたつ席あり","掘りごたつ個室あり（2名～40名様用） ※個室の詳細はお店にお問い合わせください"
"花様 ka－you NU茶屋町 近江自家栽培ファーム直営店","530-0013","大阪府大阪市北区茶屋町10-12 NU茶屋町B1","06-6225-7083","050-3666-7075 06-6445-8787","http://shigaichiba.com/","info@shigaichiba.com","90席","テーブル個室あり（2名～4名様用） テーブル個室あり（4名～8名様用） テーブル個室あり（8名～12名様用） テーブル個室あり（12名～20名様用） テーブル個室あり（20名～90名様用） ※個室の詳細はお店にお問い合わせください"
"北新地 和バル ～WABAR～","530-0003","大阪府大阪市北区堂島1-5-7 堂島グランドビル1F","050-5788-3735","","http://www.fds-wabar.com/","","56席 座敷席あり 掘りごたつ席あり","テーブル個室あり（2名～20名様用） 座敷半個室あり（10名～30名様用） ※個室の詳細はお店にお問い合わせください"
"花様 ka－you 阪急梅田 近江自家栽培ファーム直営店","530-0012","大阪府大阪市北区芝田1-7-2 阪急かっぱ横丁2F","06-6377-6880","050-3666-7075 06-6445-8787","http://shigaichiba.com/","info@shigaichiba.com","60席 ソファー席あり","テーブル個室あり（2名～4名様用） テーブル個室あり（4名～6名様用） テーブル個室あり（6名～12名様用/パーティション仕切り） テーブル個室あり（12名～20名様用/パーティション仕切り） テーブル個室あり（40名～60名様用） ※個室の詳細はお店にお問い合わせください"
"地鶏ごちそう処 とりひめ お初天神店","530-0057","大阪府大阪市北区曽根崎2-13-18","050-5513-9102","","","","110席 座敷席あり 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（1室/8名～12名様用/扉・壁あり） 掘りごたつ個室あり（1室/20名～34名様用） テーブル個室あり（2室/25名～40名様用） ※個室の詳細はお店にお問い合わせください"
"花殿 ka－den 梅田茶屋町 近江牛一頭買い牧場直送店","530-0012","大阪府大阪市北区芝田1-7-2 阪急かっぱ横丁2F","06-6374-8780","","","","60席 座敷席あり 掘りごたつ席あり カップルシートあり 円卓あり","テーブル個室あり（2名～4名様用/扉・壁あり） テーブル個室あり（4名～6名様用/扉・壁あり） テーブル個室あり（6名～10名様用/パーティション仕切り） 掘りごたつ個室あり（6名～10名様用/パーティション仕切り） 掘りごたつ個室あり（15名～22名様用/パーティション仕切り） ※個室の詳細はお店にお問い合わせください"
"黒毛和牛肉匠 いちえ 永楽町店","530-0002","大阪府大阪市北区曽根崎新地1-9-9 谷安ロワビル1F","050-5798-3937","","","","32席 カウンター席あり カップルシートあり","掘りごたつ個室あり（15名～20名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"花様 ka－you 東梅田 近江自家栽培ファーム直営店","530-0051","大阪府大阪市北区太融寺町5-15 梅田イーストビル2F","06-6362-8010","050-3666-7075 06-6445-8787","http://shigaichiba.com/","info@shigaichiba.com","50席 座敷席あり 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（2名～4名様用） 掘りごたつ個室あり（4名～8名様用） 掘りごたつ個室あり（8名～12名様用） 座敷個室あり（12名～18名様用） 座敷個室あり（12名～20名様用） ※個室の詳細はお店にお問い合わせください"
"備長炭牛串焼 酒蔵 縁","553-0003","大阪府大阪市福島区福島5-6-13","050-5786-0759","","","","40席 座敷席あり","座敷個室あり（1室/4名～6名様用） 座敷個室あり（1室/3名～4名様用） ※個室の詳細はお店にお問い合わせください"
"ハイカジ Korean Kitchen まだん お初天神店","530-0057","大阪府大阪市北区曽根崎2-8-7 コーストスタジョーネ2F","050-5797-0690","","http://www.landmarkco.jp/","","78席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（4名～8名様用） テーブル個室あり（4名～30名様用） テーブル個室あり（8名様用） 掘りごたつ個室あり（15名～20名様用） ※個室の詳細はお店にお問い合わせください"
"korean cafe dining dammi 梅田店","530-0012","大阪府大阪市北区芝田1-1-3 阪急三番街北館B2","050-5796-3448","","http://www.dammi.jp/","","150席 カップルシートあり ソファー席あり","テーブル個室あり（1室/6名様用/カーテン仕切り） ※個室の詳細はお店にお問い合わせください"
"個室焼肉 龍の巣梅田 ハナレ","530-0027","大阪府大阪市北区堂山町2-16 五孝ビル2F","050-5787-9310","","","","40席","テーブル個室あり（4室/2名様用） テーブル個室あり（1室/6名～8名様用） テーブル個室あり（2室/3名～4名様用） ※個室の詳細はお店にお問い合わせください"
"九州 熱中屋 野田阪神 LIVE","553-0007","大阪府大阪市福島区大開1-20-7","050-5786-4630","","","","80席 座敷席あり カウンター席あり",""
"黒毛和牛肉彩 嬉野","530-0056","大阪府大阪市北区兎我野町11-14","050-5789-4974","","","","35席 カップルシートあり ソファー席あり","テーブル個室あり（1室/6名～35名様用） ※個室の詳細はお店にお問い合わせください"
"しゃぶしゃぶ 花の響き 梅田お初天神店","530-0057","大阪府大阪市北区曽根崎2-5-30 ポンヌーボービル7F","050-5787-6084","","","","70席",""
"しゃぶ扇 HEPナビオ店","530-0017","大阪府大阪市北区角田町7-10 HEPナビオ7F","050-5797-1064","","","","30席",""
"個室居酒屋 若の台所 ～こだわり野菜～ HEPナビオ店","530-0017","大阪府大阪市北区角田町7-10 HEPナビオ6F","050-5785-9839","","","","150席 座敷席あり 掘りごたつ席あり カップルシートあり","掘りごたつ個室あり（5室/2名～6名様用/扉・壁あり） 掘りごたつ個室あり（5室/8名～12名様用/扉・壁あり） 掘りごたつ個室あり（3室/15名～20名様用/扉・壁あり） 掘りごたつ個室あり（2室/25名～50名様用/扉・壁あり） 掘りごたつ個室あり（1室/55名～80名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"花様 ka－you 西梅田 近江自家栽培ファーム直営店","530-0003","大阪府大阪市北区堂島2-1-18 堂島NSビル1F","06-6344-1761","050-3666-7075 06-6445-8787","http://shigaichiba.com/index.html","info@shigaichiba.com","40席 カウンター席あり","テーブル個室あり（1室/4名～8名様用） テーブル個室あり（1室/8名～12名様用） テーブル個室あり（1室/12名～16名様用） テーブル個室あり（1室/20名～40名様用） ※個室の詳細はお店にお問い合わせください"
"縁鳥 ルクア大阪店","530-0001","大阪府大阪市北区梅田3-1-3 ルクア大阪10F","050-5788-0563","","http://www.dynac-japan.com/","","46席 カウンター席あり",""
"中国火鍋専門店 小肥羊 大阪本店","530-0017","大阪府大阪市北区角田町8-47 阪急グランドビル29Ｆ","050-5786-0411","","","","104席 ソファー席あり 夜景が見える","テーブル個室あり（1室/10名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"餃子鍋 A－chan（あーちゃん）北新地","530-0002","大阪府大阪市北区曽根崎新地1-2-1 2F","050-5799-6418","","","","38席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（1室/～6名様用/扉・壁あり） 掘りごたつ個室あり（1室/2名～20名様用/パーティション仕切り） 座敷個室あり（1室/～12名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"ごきげん えびす 梅田阪急東通り店","530-0027","大阪府大阪市北区堂山町4-17 固城ビル4・5F","050-5786-1750","","","","103席","テーブル個室あり（1室/4名様用/カーテン仕切り） 掘りごたつ個室あり（1室/55名～80名様用/パーティション仕切り） 掘りごたつ個室あり（1室/4名～30名様用/パーティション仕切り） ※個室の詳細はお店にお問い合わせください"
"もつ鍋 花の小町 梅田店","530-0018","大阪府大阪市北区小松原町1-27 エビスビル8F","050-5787-6087","","","","55席 カップルシートあり 夜景が見える","テーブル個室あり（4室/2名～12名様用/パーティション仕切り） ※個室の詳細はお店にお問い合わせください"
"もつ鍋 花の響き 梅田お初天神店","530-0057","大阪府大阪市北区曽根崎2-5-30 ポンヌーボービル7F","050-5787-6085","","","","70席",""
"あじびる 花心 梅田店","530-0027","大阪府大阪市北区堂山町5-8","06-6311-3601","","http://www.ajibil.com/","","100席 座敷席あり 掘りごたつ席あり","座敷個室あり（4名～6名様用） 座敷個室あり（7名～15名様用） 座敷個室あり（14名～16名様用） 座敷個室あり（17名～30名様用） 座敷個室あり（31名～50名様用） ※個室の詳細はお店にお問い合わせください"
"あらえびす","530-0002","大阪府大阪市北区曽根崎新地1-3-37 2・3F","06-6348-5518","","","","55席 座敷席あり 掘りごたつ席あり 座椅子あり カウンター席あり","テーブル個室あり（1室/8名～10名様用/カーテン仕切り） ※個室の詳細はお店にお問い合わせください"
"もつ鍋 えいちゃん 梅田お初天神店","530-0057","大阪府大阪市北区曽根崎2-11-22 高橋ビル 2F","050-5787-6083","","","","36席",""
"宮崎県日向市　塚田農場 梅田阪急東通り店","530-0027","大阪府大阪市北区堂山町4-12 白馬車ビルpartI 7F","050-5799-3513","","http://www.tsukadanojo.jp/shop/0056/","","167席 座敷席あり 掘りごたつ席あり ソファー席あり",""
"鉄板焼鳥 くちばし","530-0002","大阪府大阪市北区曽根崎新地1-6-28 第2三貴ビル1F","050-5789-8276","","","","45席 カウンター席あり ソファー席あり","テーブル個室あり（1室/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"福島バル 牡蠣小屋かなで","553-0003","大阪府大阪市福島区福島5-8-14 吉紹ビル3F","050-5797-3008","","","","80席","テーブル個室あり（2名～30名様用） ※個室の詳細はお店にお問い合わせください"
"漁師炉端 曽根崎 磯元","530-0057","大阪府大阪市北区曽根崎1-7-15 曽根崎ムーンビル1F","06-6361-4137","","","","90席 座敷席あり","座敷個室あり（10名～30名様用） ※個室の詳細はお店にお問い合わせください"
"蔵元個室 薩摩ごかもん 梅田茶屋町本店","530-0012","大阪府大阪市北区芝田1-8-1 D.D.HOUSE 1F(お伽噺WEST)","050-5798-4557","","","","131席 座敷席あり 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（8名～60名様用） テーブル個室あり（8名～24名様用） テーブル個室あり（4名～5名様用） 掘りごたつ個室あり（4名～38名様用） 座敷個室あり（10名～20名様用） ※個室の詳細はお店にお問い合わせください"
"新世界 もつ鍋屋直営 梅田店","530-0057","大阪府大阪市北区曽根崎2-10-31 梅田オレンジビル2F","050-5522-5888","06-6652-6622","http://www.shin-sekai.jp","","48席 座敷席あり",""
"地鶏料理 とり藤 福島店","553-0003","大阪府大阪市福島区福島6-1-26 OK一番街","050-5789-6448","","","","80席 座敷席あり 掘りごたつ席あり","テーブル個室あり（4名～40名様用/パーティション仕切り） 座敷個室あり（4名～8名様用/扉・壁あり） 掘りごたつ個室あり（4名～8名様用/パーティション仕切り） ※個室の詳細はお店にお問い合わせください"
"野乃鳥 梅味堂","530-0015","大阪府大阪市北区中崎西3-3-15 JR高架下34","050-5786-7585","","","","100席 座敷席あり 座椅子あり カウンター席あり テラス・屋外席あり","座敷個室あり（8名～12名様用） 座敷個室あり（20名～26名様用） ※個室の詳細はお店にお問い合わせください"
